place,location,description
Anokhi Museum of Hand Printing,jaipur," The Anokhi Foundation aims to preserve the centuries old customs and traditions of the artisans in Jaipur. the foundation has been running a museum, Anokhi Museum of Handmade Paintings, where it exhibits various artifacts in relation to the hand and block printing. "
Chand Baori,jaipur, Chand Baori is a major tourist attraction site in Abhaneri village and is a very big step well with flights of steps on the three sides that lead to the water reserve. 
Kanak Vrindavan Garden,jaipur," Kanak Vrindavan Garden is a royal garden located on the footsteps of Nahargarh hills near Amber Fort. Divided into eight sections, it boasts of the intricate marble fountain, Parikrama and the exquisite mirror work on the walls of Govind Devji temple built in the premises. The gardens here are often compared with those in Vrindavan where Lord Krishna once lived. "
Sargasuli Tower,jaipur, Sargasuli Tower or Isar Lat is a historical heritage monument situated near Tripolia Gate of City Palace in Jaipur. The seven tiered minaret is built in a fashion similar to that of Qutub Minar in Delhi and Kirti Stambh of Chittorgarh. The tower has a tiny entry with a spiralling staircase and every tier has a balcony outlet. 
Khole Ke Hanuman Ji Temple,jaipur," Located on the Delhi bypass in Jaipur at Lakshman Dungri, Khole Ke Hanuman Ji Temple is a Hindu revered temple dedicated to Lord Hanuman. The temple is perched on a hillock and offers some panoramic views of the surrounding hills. Besides, the shrine has a spacious sanctum which can accommodate around 500 people at once. "
Mauj Mahal Water Park and Fun Resort,jaipur," Mauj Mahal Water Park and Fun Resort is a multiple themed amusement park complex on the Chomu-Jaipur highway in Jaipur. The amusement park offers various activities including rain dance, video games parlor, spa and even a beauty parlor for the ladies etc.  "
Garh Ganesh Temple,jaipur," Garh Ganesh Temple is an ancient temple built by Maharaja Sawai Jai Singh before he laid the foundation stone of the city of Jaipur. The temple is located near Jaigarh and Nahargarh Forts on the Aravalli Hills. It is dedicated to Lord Ganesh who is revered in Vigra Purushakriti, which means his child-form is worshipped here. The temple is often a halting spot for trekkers who explore the Aravalli Hills for a fabulous view of the city.  "
Elefantastic,jaipur," Elefantastic, situated at the capital city of Rajasthan, Jaipur, is a place that will change your perception of an elephant sanctuary forever. The elephants here are treated nicely, and it also boasts of its great hospitality, extreme geography, kaleidoscopic culture, deep-rooted spirituality, photogenic chaos and love for animals. "
Karauli,jaipur," Karauli is a quaint town famous for sacred places and is home to more than 300 temples. The rich, vibrant and colourful heritage and culture of Rajasthan can be glimpsed in this town which makes it a perfect place to visit on a vacation.  "
Bhandarej,jaipur, Bhandarej located in the Duasa district in Rajasthan is a quaint and perfect place to getaway from the hustle bustle of the city. This is a vibrant and colourful place that is beautifully juxtaposed with the intricate stone monuments. Bhandarej is full of scenic beauty and picturesque landscapes.  
Samode Palace,jaipur," At a distance of around 56 kms from Jaipur, Samode Palace is a heritage palace cum hotel. A fusion of Muslim and Rajputana architecture, the palace also houses Sheesh Mahal or Hall of Mirrors. It is also surrounded by beautiful gardens which are a treat to the eyes. "
Hari Mahal Palace,jaipur," Originally a residence of Rajadhiraj Hari Singh of the Achrol family in the 1930s, Hari Mahal Palace has now been partly converted into a heritage luxury hotel. The interesting factor is that half of the palace is still occupied by the members of the royal family. "
Rajmahal Palace,jaipur," Built in 1729, Rajmahal Palace is a symbol of love by Maharaja Sawai Jai Singh II for his wife. Briefly occupied by the British, the palace has now been restored and converted into a luxury stay. It still houses some of the ancient relics and royal chandeliers from the bygone era. "
Narain Niwas Palace,jaipur," Built by Thakur of Kanota, General Amar Singh, Narain Niwas Palace boasts of Anglo Indian style of architecture of the Victorian era. The palace has now been converted into a heritage home to give you a glimpse of the opulent royal lifestyle. "
Shahpura Haveli,jaipur," Originally built as a vantage point nearly 300 years ago, Shahpura Haveli was later converted into a magnificent fortress. The palace has now been converted into a heritage home which boasts of Indo-Saracenic style of architecture. It is frequented by celebrities, politicians and other popular artists. "
Bara Imambara,lucknow," The Bara Imambara of Lucknow is one of the most famous monuments of the city. Also known as Asfi Imambara,  after the name of the Nawab of Lucknow who got it constructed, it is an important place of worship for the Muslims who come here every year to celebrate the religious festival of Muharram. The Imambara is specially known for its incredible maze, known as Bhul Bhulaiya locally, which is located in the upper floor of the monument. "
Chota Imambara,lucknow," The Chhota Imambara, or the Imambara of Hussainabad, is one of the most beautiful and attractive buildings in the old city of Lucknow in Uttar Pradesh. This imposing monument lies to the west of Bara Imambara and is a true sight to behold. The Chhota Imambara was initially a congregation hall for Shia Muslims that was built by Muhammad Ali Shah, who was the third Nawab of Awadh, in 1838. The Imambara was to serve as his own mausoleum as well as that of his mother, who is buried beside him in this prestigious monument.  "
British Residency,lucknow, The British Residency of Lucknow served as a refuge for several Britishers during the uprising on 1857. The fort is now in ruins and a cemetery nearby contains the graves of the hundreds of Britishers who died during the siege. The ruins are now protected by the Archaeological Survey of India.  
Marine Drive Lucknow,lucknow," Marine Drive is named after the famous Marine Drive in Mumbai. It is a picturesque strip of road adjacent to the River Gomti in Gomti Nagar, Lucknow. The spot is popular among the young crowd as a hangout place. Apart from that, people use it for jogging, cycling and similar activities. The path is sprinkled with benches to sit and relax. "
Rumi Darwaza,lucknow," The Rumi Darwaza was built in 1784-86 and is a 60 feet high entrance, with no visible supporting fittings. It is also known as the Turkish Gate and displays Awadhi architectural style. "
Ambedkar Memorial Park,lucknow," The Ambedkar Memorial Park was constructed by the Mayawati Government in Gomti Nagar, Lucknow. The park was built to commemorate the people who dedicated their life to equality and human justice like Dr. Bhimrao Ambedkar, Kanshi Ram and others. With a budget of a whopping seven billion rupees, the park is one of the loveliest things to see in Lucknow. "
Lucknow Zoo,lucknow, The Prince of Wales Zoological Gardens was built in 1921 was built to commemorate the Royal family's visit to Lucknow. 
Hazratganj Market,lucknow," Hazratganj, the central shopping district of Lucknow, has a long history behind it and has undergone a great makeover that bridges the past and the present and continues to serve as Lucknow's central shopping arcade. "
Indira Gandhi Planetarium Lucknow,lucknow," Situated at the Surajkund Park neighbourhood of Lucknow, on the banks of the River Gomti, Indira Gandhi Planetarium is also popularly known as Taramandal Show. The highlights are the science and astronomy shows, 3D models and exhibitions. "
Shah Najaf Imambara,lucknow, Shah Najaf Imambara is a Muslim monument centrally located in Lucknow city at Rana Pratap Road. The dome-shaped monument houses the graves of Nawab Ghazi - Ud - Din Haider and his three wives. 
Moti Mahal Palace Lucknow,lucknow," Built by Nawab Saadat Ali Khan, the Moti Mahal is popularly known as the Pearl Palace. This historical monument located on the banks of river Gomti is constructed next to Mubarak Manzil and Shah Manzil. A former residence of the Nawabs of Lucknow during the time, Moti Mahal was initially a part of the Qaisar Bagh complex.  "
Ramakrishna Math Lucknow,lucknow," A monastery and shrine established in Nirala Nagar, the Ramakrishna Math is an all-monk institution dedicated to Sri Ramakrishna . With the motto of ""For one's own salvation, and for the welfare of the world"", this building has a shrine adjacent to the institute.  "
Bithoor,lucknow," Bithoor is a quaint little town nestled away in the Kanpur district of Uttar Pradesh, acclaimed for being an important hub of pilgrimage for Hindus. Along with its religious significance, Bithoor also has a good share of historical places of interest. Bithoor is immersed in local legends, religious myths, primeval artifacts and ancient ruins. The town was said to be the residence of Lav and Kush, prominent figures in the Hindu mythology of Ramayana. "
Dream World Amusement Park,lucknow," Dream World Water Amusement Park is a one-stop destination for a day full of fun, thrill and enjoyment. Boasting of umpteen rides and activities and fun games, the park is a hot pick and top favourite of the teenagers and the adults alike.  "
Constantia (La Martiniere School),lucknow," One of the historical landmarks of Lucknow with its English past, the La Martinere School started in 1845. It houses the tomb of French Major-General Claude Martin as he resided there. "
Anandi Water Park,lucknow," Located on the outskirts of Lucknow along the Faizabad Road, Anandi Water Park is one of the largest waterparks in the northern area. The park hosts an array of splash pads, water swings, and other swimming activities. "
Lucknow Chowk,lucknow," Chowk market in Lucknow is one of those places of the city that are a window into its rich cultural heritage. Beginning from Chikan work to succulent kebabs, one can find it all at the Chowk market.  "
Dilkusha Kothi,lucknow," A hunting lodge converted into a summer palace for the royals, Dilkusha Kothi was built in 1800 by Major Gore in Baroque style. It faced major impact during the first war of independence and hence lies in a less than perfect state with just a few towers and walls standing. "
Firangi Mahal,lucknow," Once belonging to a French businessman Neal, Firangi Mahal was transferred to the government treasury under the royal decree, which was then developed into an Islamic school by Aurangzeb's consultant and his brother. "
Gautam Buddha Park Lucknow,lucknow," Located in Hasanganj in Lucknow, Gautam Buddha Park is situated next to Hathi Park. Set up in 1980, this hot favourite among kids and adults, is replete with swings and slides based in lusk green lawns with blooming flowers.  "
Shahi Baoli,lucknow," An intricate merge of Indian and Islamic architectural styles, the Shahi Baoli was formerly built as a reservoir for the society of the time. It was constructed between 1784 and 1795 by Nawab Asif-Ud-Din Daula and Kifayat-Ullah, one of the excellent architects of the time.  "
Janeshwar Mishra Park,lucknow," Janeshwar Mishra Park is a newly constructed park, located in Gomti Nagar, Lucknow. Dedicated to the demised Samajwadi Party politician, Janeshwar Mishra, the park was opened to the public in 2014.   "
Chandrika Devi Temple,lucknow," Situated in Aashiyana,  the Chandrika Devi Temple is dedicated to the Hindu Goddess Chandi. Adorning three heads, Chandrika Devi is a said to be a combined manifestation of Goddesses Kali, Lakshmi and Saraswati.  "
Aminabad,lucknow," One of the most bustling and oldest shopping hubs of Lucknow, Aminabad is a famous market selling a wide range of products from clothes and jewellery to cosmetics, footwear and even books. "
Fun Republic Mall,lucknow," Located at Gomti Nagar in Lucknow, Fun Republic Mall is one of the most popular and one of the largest malls in the city. Launched in 2007 by the Zee Group, the mall is replete with a plethora of big brands outlets, food stalls, grocery shops, apparels & cosmetic stores. "
Mankameshwar Mandir Lucknow,lucknow," The Mankameshwar Mandir is situated on the banks of river Yamuna at Saraswati Ghat in Lucknow. A revered Hindu temple dedicated to Lord Shiva, this temple is the first to have had a woman priest.  "
Husainabad Clock Tower,lucknow," Standing tall adjacent to the Rumi Darwaza, the Husainabad Clock Tower was built in 1881 and since has been the tallest clock tower in India. It is 67 meters high, displaying Victorian-Gothic brilliance with a 14 feet long pendulum and a dial in the shape of a 12 petalled flower. "
Jama Masjid Lucknow,lucknow," Located in Tehseenganj, Jama Masjid is an Islamic place of worship built by King Mohammad Ali Shah Bahadur. Constructed in 1423, this ancient mosque hosted on an elevated square platform was built to outpass the grand Jama Masjid in Delhi.  "
Disney Water Wonder Park,lucknow," Situated on the Kanpur-Lucknow Road, Disney Water Wonder Park is a water cum amusement park. Spread over 20 acres of land, the property is solely dedicated to fun, food and adventure. Offering myriad entertainment and recreational activities, it is one of the most loved parks in the city. "
Shaheed Smarak Lucknow,lucknow," Shaheed Smarak or Martyrs' Memorial is a white marbled pillar-like structure standing amidst lush green lawns at Mukarimnagar, Qaiserbagh in Lucknow. "
Nawabganj Bird Sanctuary,lucknow," Nawabganj Bird Sanctuary, also known as Shahid Chandra Shekhar Azad Bird Sanctuary in Uttar Pradesh is a popular tourist hotspot. Located in Unnao the bird sanctuary is engulfed by dense forests and is home to over 250 species of aviary creatures, which include domestic Indian birds as well as the birds that migrate to the sanctuary in the winter months. "
Hussainabad Picture Gallery,lucknow," Located close to Chhota Imambara and the Hussainabad Clock Tower, Hussainabad Picture Gallery is a popular tourist attraction in Lucknow.  "
Dr Ram Manohar Lohiya Park,lucknow," Spread across 76 acres, the Dr Ram Manohar Lohiya Park is a popular park in Gomti Nagar. Dedicated to the socialist Dr Ram Manohar Lohiya, the park sites four divisions of courtyards and separate entrances. "
Chattar Manzil,lucknow," Chattar Manzil or popularly known as Umbrella Palace was built by Nawab Ghazi Uddin Haider and was later on used by the ruler of Awadh and his wives. Located on the banks of the river Gomti, the building is a glowing example of Nawabi and European architecture. "
1857 Memorial Museum Residency,lucknow," Located in Qaiserbagh, the 1857 Memorial Museum Residency is a dedicated piece to the First War of Independence of 1857. Containing relics and antiques of the time, the museum also has visual displays of the war.  "
Dewa Sharif,lucknow," Situated in the Barabanki district of Uttar Pradesh, 25 kms away from Lucknow, Dewa or Dewa Sharif is a small town which is renowned world wide for the shrine of Haji Waris Ali Shah. Considered to be a prominent site of Muslim heritage, the shrine also has a mosque and a khankah within the premises, and is regularly visited by pilgrims. "
Begum Hazrat Mahal Park,lucknow," Located in Qaiserbagh in Lucknow, Begum Hazrat Mahal Park is a popular park. Hosting swings and a play area for kids, this crowd-favourite picnic spot is also a great place for walks, jobs, elderly laughing clubs, yoga and meditation.  "
Nilansh Theme Park,lucknow," Situated a little on the outskirts of Lucknow city, Nilansh Theme Park hosts an array of fun games, activities and an exclusive water park. The site also avails space for events, private parties and gatherings and overnight stays.  "
Hathi Park,lucknow," Hathi Park is one of the most visited and popular parks in Lucknow. The park has several swings and slides for kids and recreational elephant structures which can be climbed. The park facilitates other games and activities for children as well. Besides, it has food stalls to satisfy your hunger pangs. "
Safed Baradari,lucknow," Built by Nawab Wajid Ali Shah, Safed Baradari is a white marbled palace originally constructed as the Nawab's ""Palace of Mourning"". Located at Maharaja Mahamudabad of Qaiser Bagh, the Safed Baradari houses marble statues of the Anjuman founders Maharajas Man Singh and Balrampur's Digvijay Singh.  Initially called Qasr-ul-Aza, this structure further came to be used as a British petitionary court.  "
Tomb of Saadat Ali Khan,lucknow," Located in Qaiser Bagh, the Tomb of Saadat Ali Khan is a combined mausoleum of both Saadat Ali Khan and his wife Khursheed Zadi. Constructed by their son, this is a tomb adorning the typical amalgam of Indian and Islamic architectural styles. "
Kaiserbagh Palace,lucknow," Constructed between 1848-1850, under the rule of Nawab Wajid Ali Shah, Kaiserbagh Palace is one of the most famous monuments and exotic masterpieces of Mughal architecture. It is located from the eastern end of the Chattar Manzil to the Tarawali Kothi.  "
Sikandar Bagh,lucknow," Sikandar Bagh is an ancient styled posh mansion and a bracketing garden built in the 1800s. Located on Ashok Road, this greenery housed here is known to be the last Mughal garden in India.  "
Amrapali Water Park,lucknow," Launched in 2002, Amrapali Water Park is a top pick for an adventure day outing for families and friends. The park boasts of the highest number of rides in the region.  "
Four Seasons Fun City,lucknow," Four Seasons Fun City is situated on the Rai Bareilly Road in Lucknow. Besides the umpteen thrilling rides, swimming pools, rain dance, tube slides etc, the highlight of the park is the snow park where you can experience artificial snow. The park also has an amazing DJ and sound system. "
Fun Village Water Park and Resort,lucknow, Fun Village Water Park and Resort is situated on the Lucknow - Allahabad highway and has a lot of exciting and thrilling water and regular rides. The park also has a resort within the premises where you can relax to take a break from the pell-mell of the city life.  
Scorpio Club,lucknow," Located on the Behta Kursi Road in Lucknow, Scorpio Club or Scorpio Water Park is the perfect way to beat the summer heat amidst cool blue waters.You can get your adrenaline all rushed up with all the thrilling and adventurous rides. The property also has a fine dine restaurant to satiate your hunger pangs. "
Blue World Theme Park,kanpur," Situated on Mandhana-Bithoor Road, the Blue World Theme Park is a fantastic water and amusement park with tons of rides. The rides have been thematically divided into the following – European, Fairy Land Theme, Chinese Theme, Jungle Theme, Mayan and Egyptian Culture and Indian themes. "
Green Park Stadium,kanpur," Located along the banks of the river Ganges, Green Park is a cricket stadium found at the Kan Chembar at Kanpur. Established in 1945, this well-lit stadium holds an accommodating capacity of 32,000.  "
Nana Rao Park,kanpur," Nana Rao Park is a vast public garden centrally located on Mall Road in Kanpur. This beautiful garden is the ideal spot for nature lovers, famous for its lush greenery, particularly evergreen trees and bright-coloured flower beds.  "
Mahatma Gandhi Park,kanpur," Mahatma Gandhi Park is a lush green garden located in the cantonment area of Kanpur. One of the oldest and most well-known parks in Kanpur, the Mahatma Gandhi Park is equipped with play areas for children and recreational space for adults. "
JK Temple,kanpur," JK Temple, otherwise called as Juggilal Kamplapat temple is located on the Govind Nagar road of Sarvodaya Nagar in Kanpur. It is a beautiful combination of both ancient and modern architecture.  There are nearby lakes and greenery such as the popular Moti Jheel.  "
Kanpur Zoo,kanpur," Also known as Allen Forest Zoo, the Kanpur Zoological Park is located in Nawabganj, approximately 7 kilometres from Kanpur city. 
Situated in the human-made Allen Forest, this zoological park houses a picturesque landscape, lush vegetation, a beautiful lake, and several rare species of plants and animals.  "
Kanpur Museum,kanpur," Also known as the Kanpur Sangrahalay, this official museum of Kanpur is located on the Pool Bagh Ground. The Kanpur Museum exhibits artefacts and documents from the colonial period to the modern-day Kanpur. Formerly launched as the King Edward Memorial Hall in memory of King Edward VII, it was further renamed as the Gandhi Bhawan in 1999. It also has an in-house public library.  "
Moti Jheel,kanpur," Moti Jheel, located in the Benajhabar area of Kanpur, is a water storage spot as well as a great sightseeing point. Translating to the Pearl Lake, Moti Jheel also avails boating facilities with an array of street food stalls and toys sold at the entrance and within its premises. Constructed during the British colonial rule, Moti Jheel along with Moti Park and Kamala Retreat is a significant local recreational spot.  "
ISKCON Temple Kanpur,kanpur," The ISKCON temple is yet another international spiritual tourist attraction dedicated to Lord Krishna. The temple is located on Mainavati Marg, Bithoor Road, about 4 km from Kanpur. The best time to visit is in August and September due to Krishna Janmashtami and Radhashtami respectively.   "
Jungle Water Park,kanpur," Jungle Water Park is one of the top amusement options that have developed in Kanpur over the past decade.  Located in Chiran Gaon on Bithoor Road, this amusement park comprises of several pools and rides for both children and adults. Bracketed within a splash of green, the park is also a great place for picnics or just relaxation.  "
"Sports Village, Kanpur",kanpur," Sports Village, located on Bithoor Road is an attraction known for its slides and water rides and a getaway from the summer heat in Kanpur. A leisurely space for adults, the village also acts as a haven for kids to swim in multiple pools and a playground. There is a canteen providing local food and refreshing beverages. Sports Village also has a guest house available for pre-bookings for marriages or other occasions and events. "
Kamla Retreat,kanpur," Kamla Retreat, located on Kamala Nehru Road, Kanpur, is an exclusive state-owned by the renowned Singhania family. It is a beautiful spot for leisure and relaxation, greatly admired by tourists and their families.  "
Jajmau,kanpur," The leather city of Kanpur, Jajmau is a densely populated industrial suburb famous for its leather production. Also known as Jajesmow, it is regarded as one of the oldest sites in Kanpur to have housed human inhabitation.  "
Becon Ganj Market Kanpur,kanpur," Becon Ganj market is a prominent market in the locality of Becon Ganj in Kanpur city of Uttar Pradesh. Both a residential and a commercial section, the market is famous for its variety of fabrics and Indian suits that are sold. "
Sisamau Bazaar,kanpur," Sisamau Bazaar is one of the oldest markets of Kanpur. Stretched along the busy lanes of Nehru Nagar, this bazaar is a local street market selling products ranging from utensils to clothes.  "
Valmiki Ashram,kanpur," Valmiki Ashram is a hilltop holy site located in Bitoor, Kanpur. It is believed to be the place where the saint Valmiki wrote the Ramayana. Covering an expanse of vast land, the Valmiki Ashram encompasses three temples and a pond.  "
Brahmavart Ghat,kanpur," Located in the Bithoor town of Kanpur, Brahmavart Ghat is the holiest of holy ghats dedicated to the Hindu deity, Brahma. After a ritual bath devotees gather at the altar called the Wooden Slipper to offer prayers.  "
Buddha Park,kanpur," Gautam Buddha Park is one of the prominent tourist attractions in Kanpur. It is located on the way to the IIT campus and falls in between the Bara Imambara and Martyrs Memorial, Indira Nagar. A great picnic option, Buddha Park is also best suited for evening walks, jogging, public and political gatherings. "
Kanch ka Mandir (Jain Glass Temple),kanpur," Translating to the Jain Glass Temple, the Kanch ka Mandir is located in the Maheshwari Mohal. This dainty temple made out of glass honours the powerful Lord Mahavira and the remaining 23 Jain Tirthankaras.  "
Ram Janki Mandir,kanpur," The famous Ram Janki Mandir located on Subji Mandir Road in Barra is a temple dedicated to Lord Hanuman. It is one of the most sacred sites among the Hindu faith and is also listed under the exclusive holy sites revered to Hanuman, Ram and Sita together.  "
Kanpur Memorial Church,kanpur," One of the oldest and beautiful churches of India, the Kanpur Memorial Church is located on Albert Lane. Also known as the All Souls Cathedral Church, it is popularly known for its architecture and historical importance. Established in 1857, the church is a memoir of the lost British troops of the Sepoy Mutiny. "
"Massacre Ghat, Kanpur",kanpur," Massacre Ghat is a great sightseeing spot and a family hangout area in Kanpur. Located on the banks of the Ganga near Jajmau, this Ghat covers the northern part of Kanpur. Officially named as the Nana Rao Ghat, this place is also known as the Sati Chaura Ghat as it was the very site where women used to perform the terrifying ritual of Sati. "
Phool Bagh,kanpur," Situated on the Mall Road, Phool Bagh is a gorgeous urban park in the city of Kanpur. Also known as Ganesh Shankar Vidyarthi Udyan, the park was originally called as the Queen’s Park. This park is not only one of the oldest gardens in Kanpur but it also holds historical legacy. It used to be the venue for relevant political rallies and public meetings.  "
Ganga Barrage Kanpur,kanpur," Ganges Barrage Kanpur, also known as Luv Kush Barrage is a bridge and a dam across the Ganges in Azad Nagar-Nawabganj in Kanpur. This 621-metred bridge is soon to serve as a four-lane highway bypass for NH 91. 
 "
Naveen Market,kanpur," Also known as Khazana Mart, Naveen Market is one of the leading marketplaces in Kanpur. Situated in the North of the Central region in Kanpur, this high-end market is known for its range of garments, leather, jewellery and perfumes.  "
"Parade Market, Kanpur",kanpur," The Parade Market in Kanpur is one of the biggest wholesale markets in the city. Located on Shiwala Road, “Parade” as it is locally called, is a large area hosting hundreds of stalls from clothes to shoes and books to some of Kanpur’s famous street food. "
Drive & Dine Restaurant,kanpur," Kanpur, Uttar Pradesh has got its very own drive-in restaurant, Drive & Dine, bringing to you social distance dining, mouth-watering delicacies, and car drives amidst a romantic backdrop. The guests have the option to eat outside just like in a picnic while being surrounded by greenery or enjoy their meals while sitting in their cars.  "
Dhamma Chakra Stupa,nagpur," Also known as Deeksha Bhumi, the stupa is a marvelous architectural body and can accommodate more than 5,000 people. It is built out of Dhaulpur sandstone, marbles & granites and is 120 feet in height. "
Ramtek Fort Temple,nagpur," Away from the city crowd, situated inside a fort on a hilltop, this temple is a source of rich mythological history. It is believed that Lord Rama took rest in this temple before leaving to conquer Lanka therefore making Lord Rama the main deity to be worshipped here. "
Lata Mangeshkar Musical Garden,nagpur," An amphitheater accommodating 2,500 people in its sprawling and enormous spread-out, the place is true to its name. This place is filled with musical fountains, soothing tunes and music all played out by the musicians. This garden soothes the soul of every visitor. "
Ambazari Lake,nagpur," The largest one of the 11 lakes in Nagpur, the Ambazari lake is situated near the southwest border of the city. This lake is the point from where the Nag river originates. The lake is surrounded by mango trees, gaining the name Ambazari, as Amba means in Mango in Marathi, the local language. The lake has a garden located just beside it, known as Ambazari Garden. This place as a whole is managed and preserved by the Nagpur Municipal Corporation. A musical fountain, various electric rides and amusement games are there in the garden, which also offers boating facilities and walking trails. "
Amba Khori,nagpur," Remember that scene from your favorite movie, where the hero and heroine dance to a romantic song by a waterfall? Well, a visit to Amba Khori, at about 80 kilometer from Nagpur, will make this scene come to life. Situated close to the banks of River Pench, this location is nothing short of an exotic foreign location. Sitting in the lap of Mother Nature, Amba Khori has more than just a waterfall to attract. The mesmerizing Totladoh Lake Dam, which is said to resemble the teary eyes of Kalidasa's renowned heroine, Shakuntala is a sight to behold.  "
Waki Woods,nagpur," Situated at a distance of about 30 kms from Nagpur, Waki Woods is a sight to behold. The luscious greens provide you with a plethora of activities, other than a scintillating natural landscape for a picnic day out. Life in these 'woods' is a perfect mix of modernity and nature, as you will find fully furnished tents with facilities like electricity and phones. What's more? Indulge in the pleasure of boating, archery, go on a trekking adventure, or unleash the inner wildlife photographer in you-thanks to the bird sanctuaries at Waki. Pay a visit to the While in the woods, do not forget to treat your taste buds with lip-smacking delicacies at the Waki Woods Dhaba. "
Akshardham Temple,nagpur," Swaminarayan Temple or Akshardham Temple is located on the Ring Road in Nagpur. The newly constructed temple is facilitated with a huge kitchen, parking, a restaurant and a kids play area. It is advised to visit the temple after 4 in the evening owing to its impressive lighting and decor. The temple is spread over two floors and boasts of a striking architecture. "
Maharaj Bagh and Zoo,nagpur," Built by the Bhonsle kings, the enticing park was later renovated into a botanical garden and zoo which houses rare species of flora and fauna. Nature enthusiast will most definitely love this place. "
"Khindsi Lake, Ramtek",nagpur," 40 km away from the main city, this beautiful lake is a very popular tourist destination given its natural beauty and water sports it hosts. There are a few accommodation options here too. "
Raman Science Centre,nagpur," With a number of displays related to modern science and technology, this one also has a planetarium, that attracts a lot of visitors. "
City Shopping,nagpur, Essentials from Nagpur include oranges and silk fabrics. 
Bohra Masjid,nagpur," Mostly worshipped by the Dawoodi Bohra community of Nagpur, the architecturally beautiful mosque is mainly used for community gatherings and weddings. "
Futala lake,nagpur," Constructed by Raje Bhosle, the lake is famous for its alluring and calm atmosphere and colourful fountains. A perfect spot for spending some great quality time with your loved ones. "
Shukrawari lake,nagpur," Once known as the Jumma Talab, is also referred to as Gandhi sagar lake in the present times. With boating facilities, A Ganesh temple, Huge stone walls around, tall lustrous trees makes for a wholesome experience. "
Lake Garden Sakkardara,nagpur, The comprehensive garden lake on the banks of the Sakkardara lake is a famous gateway for the local families of Nagpur. The lake engages you in its beauty and calm atmosphere. 
Sri Ganesh Mandir Tekri,nagpur," Situated on the Station Road in Nagpur, Sri Ganesh Mandir Tekri is a Hindu shrine dedicated to Lord Ganesha. The temple boasts of rich architecture; the idol of Ganesha can be seen seated under a tree inside the premises of the temple. The busiest time of the day is during early morning or evening aartis. "
Deeksha Bhoomi,nagpur," Deekshabhoomi Stupa is a sacred monument of Buddhism situated at the spot where B. R. Ambedkar converted to Buddhism. It is a popular place of Buddhism pilgrimage. Most pilgrims visit either during the Dhamma Chakra Pravartan Din (""Mass Conversion Ceremony Day"") or on 14th October which signifies the day of Ambedkarês conversion. "
"Sai Baba Temple, Nagpur",nagpur," Situated on the Goswami Tulsidas Road in Nagpur, Sai Baba Temple is a revered Hindu temple thronged by thousands of pilgrims annually. The idol of the presiding deity is exactly the same as the one placed in Shirdi because it is made by the same idol maker. Apart from the fine atmosphere and the spiritual vibe, the shrine also boasts of impeccably clean premises. "
Adasa Ganpati Temple,nagpur," Adasa Ganpati Temple is dedicated to Lord Ganesha and is located about 35 kms from the main city of Nagpur. The shrine is situated on top of a tiny hillock and can be reached through a small trek of around 100 metres or a flight of 40-50 stairs. Other than presenting a picturesque view of the city, the premises are also used for family day picnics. "
Dragon Palace Buddhist Temple,nagpur," Dragon Palace Buddhist Temple, also known as Lotus Temple of Nagpur is a Buddhist temple situated in Kamptee, Nagpur. The shrine was established recently in 1999 with the funds donated by the Ogawa society from Japan. The temple has a huge sandalwood statue of Buddha and the premises are done beautifully with well-groomed gardens and an overall aesthetic appearance. "
Koradi Temple,nagpur," Koradi Temple is situated on the Chhindwara Road in Nagpur and is dedicated to Goddess Durga. Located on the banks of Koradi Lake, the shrine is the busiest during Dussehra and Navratri. It is one of the shakti-peeth and is thronged by lacs of pilgrims all through the year. Navratri is the most popular festival when the idol is dressed in three different avatars. "
Narrow Gauge Rail Museum,nagpur," Narrow Gauge Rail Museum is a unique museum in Kamptee Road, Nagpur. The museum has models and lookalikes of locomotives, trains, steam engines and the like. Spread over several galleries, the repository was inaugurated by Nitish Kumar in 2002. Besides, the premises also have an amusement park, toy trains and swings for kids. "
RamDham,nagpur," Ramdham is a cultural theme park situated on Jabalpur road in Nagpur. Among the various activities and attractions of the park, the highlight is the gigantic Om statue- the largest of its kind in the world. The place has a cluster of tiny temples replicating the famous ones in the country. It also holds folk dances and other cultural activities. "
Balaji Mandir,nagpur, Balaji Mandir is situated at Seminary Hill in Nagpur. The two storeyed temple is presided by Lord Balaji who is considered an incarnation of Lord Vishnu. The shrine is a popular spot of Hindu pilgrimage and boasts of a striking South Indian architecture. The second storey is presided by Lord Kartikeya. The location of the shrine offers a picturesque view of the city. 
Sitabuldi Fort,nagpur," Sitabuldi Fort is a popular tourist site in Nagpur which also holds significant historical importance. The fort is situated atop a hill and is the site of the Battle of Sitabuldi, 1817. The highlight of the fort has a cell where Mahatma Gandhi was imprisoned. Besides, it has a war memorial dedicated to soldiers who lost their lives in the battle. "
Zero Mile Marker,nagpur," Zero Mile Marker is a monument built by the British for the Great Trigonometrical Survey of India. The monument has a pillar, a small stone to represent the zero mile mark and four stucco horses. However, there is no evidence that the monument is actually the geographical centre of India. The marker was used by the British to measure distances. "
Seminary Hill,nagpur," Seminary Hill is an important tourist attraction of the city of Nagpur. The hills have a well marked trail for treks and walking purposes. The hilltop also is home to several temples the famous Hanuman Temple. It also has several touristy places nearby like the Botanical Garden, St. Charles Seminaru etc. The hilltop is popular for offering a scenic view of the valley below. "
